Model,PR_AUC,ROC_AUC,BalancedAcc,thr,TP,FP,TN,FN
Logistic | F1-opt,0.1196162305085024,0.6425034660328778,0.49663299663299665,0.9535520675964143,0,2,295,17
Logistic | Recall>=10%,0.1196162305085024,0.6425034660328778,0.5793226381461676,4.9330542038188725e-08,13,180,117,4
AvgEnsemble | Recall≥10%,0.11582961783778477,0.7492572786690433,0.6795405030699149,0.19048829785800958,12,103,194,5
AvgEnsemble | F1-opt,0.11582961783778477,0.7492572786690433,0.6795405030699149,0.19048829785800958,12,103,194,5
Stacking | F1-opt,0.09797982625358795,0.7092493563081799,0.6283422459893049,0.5050810145123925,9,81,216,8
Stacking | Recall≥10%,0.09797982625358795,0.7092493563081799,0.5729847494553377,0.5070276738674998,5,44,253,12
MLP + ANOVA-k20,0.08315701236105477,0.5248564072093485,0.534264210734799,0.0018047608900815248,5,67,230,12
RandomForest (sigmoid) | F1-opt,0.07150138928369372,0.6171519112695584,0.5652604476133888,0.03983530610746974,8,101,196,9
RandomForest (sigmoid) | Recall≥10%,0.07150138928369372,0.6171519112695584,0.5652604476133888,0.03983530610746974,8,101,196,9
RF | Recall≥10%,0.07150138928369372,0.6171519112695584,0.5652604476133888,0.0675,8,101,196,9
RF | F1-opt,0.07150138928369372,0.6171519112695584,0.5652604476133888,0.0675,8,101,196,9
MLP | Recall≥10%,0.07016797210692105,0.5395127748068925,0.5862547039017627,0.27547651529312134,9,106,191,8
MLP | F1-opt,0.07016797210692105,0.5395127748068925,0.5862547039017627,0.27547651529312134,9,106,191,8
RandomForest (isotonic) | Recall≥10%,0.06957414710423059,0.6173499702911468,0.5652604476133888,0.05747126436781609,8,101,196,9
RandomForest (isotonic) | F1-opt,0.06957414710423059,0.6173499702911468,0.5652604476133888,0.05747126436781609,8,101,196,9
Logistic (isotonic) | F1-opt,0.06424753987928956,0.5759556347791641,0.49663299663299665,0.08333333333333333,0,2,295,17
Logistic (isotonic) | Recall≥10%,0.06424753987928956,0.5759556347791641,0.5793226381461676,0.03937007874015748,13,180,117,4
XGB | F1-opt,0.05881496555753614,0.5410972469795999,0.49217666864725684,0.005733757745474577,5,92,205,12
XGB | Recall≥10%,0.05881496555753614,0.5410972469795999,0.49217666864725684,0.005733757745474577,5,92,205,12
Logistic (sigmoid) | F1-opt,0.04140117034092467,0.3561101208160032,0.38859180035650626,0.04874134805942322,6,171,126,11
Logistic (sigmoid) | Recall≥10%,0.04140117034092467,0.3561101208160032,0.38859180035650626,0.04874134805942322,6,171,126,11
